Driftsinntekter 2021,Unnamed: 1,Unnamed: 2,Unnamed: 3
Category,2019,2020,2021
Basistilskudd,216,203,202
Basistilskudd personell og kompetanse,-,-,3
Forvaltningsmidler,307.7,196.9,-
Tilskudd H.U. Sverdrup II,284.3,274.2,200.1
Tilskudd Kjemiidentifikasjonslab,107.1,55.7,88.8
CBRNE-satsningen,-,-,85
Tilskudd og overføringer,389.4,439.1,341.8
Strategiske FoU-midler,2131.1,2109,2159
Konsept- og forprosjekteringsmidler,838.2,696.2,635.1
Forsvarssektoren,3759,3988,5180
"Sivile og offentlige, inn- og utland",678.1,979.6,761.4
